date,pageId,userId
1704240003,2181,263
1704240008,4593,405
1704240012,2326,67
1704240012,9607,488
1704240013,5910,441
1704240019,9450,857
1704240027,5967,547
1704240033,1392,773
1704240040,9952,428
1704240044,7313,362
1704240048,7485,176
1704240060,7891,30
1704240066,7038,552
1704240072,4417,940
1704240074,1520,623
1704240075,7559,481
1704240075,9702,316
1704240086,5365,81
1704240086,4935,634
1704240094,7976,337
1704240100,3435,139
1704240108,650,138
1704240111,,333
1704240122,4868,759
1704240124,8429,698
1704240128,8352,914
1704240133,7450,45
1704240138,3825,371
1704240150,7000,701
1704240152,108,576
1704240157,4259,590
1704240157,8518,256
1704240164,2393,421
1704240175,3215,864
1704240186,7747,39
1704240194,5631,837
1704240196,6252,401
1704240202,2527,804
1704240204,526,772
1704240214,8830,705
1704240215,6429,972
1704240225,510,148
1704240230,171,261
1704240241,9184,743
1704240243,1307,371
1704240255,8142,928
1704240267,2574,539
1704240277,5019,176
1704240281,1716,971
1704240284,9272,143
1704240292,8659,599
1704240298,9651,913
1704240310,3700,817
1704240311,5431,353
1704240314,4979,245
1704240324,5452,611
1704240325,4310,73
1704240336,8969,829
1704240345,1624,592
1704240348,1726,966
1704240348,2442,198
1704240349,159,963
1704240352,9734,397
1704240364,337,255
1704240376,6925,383
1704240381,3264,3
1704240384,993,361
1704240394,6961,365
1704240399,7302,285
1704240401,3737,534
1704240411,5448,71
1704240418,4791,556
1704240430,1567,367
1704240436,8503,455
1704240437,1317,123
1704240438,7823,66
1704240446,5419,689
1704240446,77,761
1704240447,4259,163
1704240453,5967,789
1704240457,4680,123
1704240468,8993,93
1704240480,4768,745
1704240490,7488,657
1704240491,392,549
1704240493,725,66
1704240497,2902,240
1704240499,945,438
1704240502,271,310
1704240513,2975,571
1704240514,814,124
1704240515,7195,450
1704240525,5177,504
1704240534,8400,45
1704240542,9558,269
1704240544,4683,777
1704240556,5520,963
1704240566,1845,66
1704240570,5501,160
1704240582,9841,79
1704240584,2015,786
1704240589,6073,252
1704240599,9947,882
1704240608,1481,471
1704240620,5056,139
1704240632,9432,700
1704240643,9074,129
1704240647,453,255
1704240651,8424,811
1704240655,9575,421
1704240657,4185,432
1704240664,5580,1
1704240675,6063,794
1704240677,8277,459
1704240683,4299,300
1704240689,6415,795
1704240695,8384,3
1704240703,574,10
1704240708,2803,51
1704240717,9719,145
1704240721,4175,715
1704240722,4194,158
1704240725,8654,934
1704240734,6426,688
1704240742,9170,396
1704240752,8130,895
1704240755,9620,75
1704240767,1828,160
1704240773,4693,617
1704240779,6207,210
1704240788,5529,705
1704240800,2228,389
1704240803,41,837
1704240804,5248,817
1704240804,4663,160
1704240812,5087,84
1704240816,5697,60
1704240823,35,127
1704240833,1160,585
1704240835,9098,482
1704240840,1084,743
1704240845,6096,446
1704240855,2069,602
1704240864,9461,593
1704240876,534,348
1704240887,370,748
1704240899,4282,359
1704240905,8112,467
1704240917,7303,145
1704240928,275,986
1704240936,5321,606
1704240939,8210,846
1704240949,5839,332
1704240956,9596,86
1704240956,5153,10
1704240959,7803,947
1704240964,6512,989
1704240967,4974,239
1704240978,9651,245
1704240990,2198,297
1704240999,6449,708
1704241002,8853,165
1704241007,3990,700
1704241007,3059,361
1704241011,2948,722
1704241023,7288,273
1704241034,2948,568
1704241045,7027,752
1704241049,3342,39
1704241057,3881,122
1704241061,5271,124
1704241062,6819,797
1704241066,7289,829
1704241074,2537,589
1704241084,5217,33
1704241090,1519,208
1704241100,9746,11
1704241105,3626,467
1704241117,5759,562
1704241123,8992,687
1704241125,2451,687
1704241130,311,204
1704241138,98,516
1704241142,2541,174
1704241152,6581,67
1704241162,8187,223
1704241166,2899,533
1704241176,9822,935
1704241180,156,545
1704241191,5260,817
1704241195,2206,700
1704241204,9126,804
1704241215,8189,148
1704241217,3178,42
1704241224,2844,204
1704241224,3259,705
1704241225,5079,112
1704241233,7053,73
1704241242,4972,60
1704241248,4145,461
1704241252,4453,680
1704241254,8835,636
1704241258,2143,852
1704241268,2848,823
1704241275,2283,708
1704241275,2486,515
1704241286,8189,703
1704241287,7249,313
1704241299,6299,607
1704241300,4333,288
1704241312,654,110
1704241323,4185,42
1704241325,7416,325
1704241334,8239,198
1704241337,3215,905
1704241344,5294,833
1704241346,7576,310
1704241353,701,527
1704241361,9601,790
1704241367,7914,611
1704241371,5837,823
1704241380,1608,168
1704241391,1824,609
1704241391,5933,552
1704241401,8659,730
1704241409,6229,436
1704241411,881,927
1704241418,1791,227
1704241426,3737,934
1704241438,6874,97
1704241444,4586,645
1704241452,3910,33
1704241464,4421,827
1704241473,1754,440
1704241473,1102,92
1704241483,4490,578
1704241489,8457,598
1704241495,4071,235
1704241506,5265,231
1704241517,9888,537
1704241524,2785,440
1704241530,6392,756
1704241536,8608,995
1704241544,5831,515
1704241544,9651,539
1704241544,4860,243
1704241556,5142,544
1704241561,848,33
1704241564,7399,766
1704241564,3000,201
1704241567,2203,924
1704241568,581,331
1704241579,1769,198
1704241583,5822,719
1704241593,4225,700
1704241598,8275,71
1704241598,6219,239
1704241599,8676,130
1704241610,1153,138
1704241614,5123,348
1704241624,5829,235
1704241630,6573,106
1704241630,2748,487
1704241636,5566,821
1704241639,8404,928
1704241650,4322,526
1704241655,6980,927
1704241658,5697,971
1704241669,1590,431
1704241681,9929,430
1704241685,592,21
1704241690,6124,155
1704241702,305,326
1704241706,8837,905
1704241709,9325,187
1704241715,1556,506
1704241727,7640,697
1704241739,4828,46
1704241745,3063,702
1704241749,4964,89
1704241749,4615,826
1704241757,9504,606
1704241766,9185,333
1704241770,4206,465
1704241777,597,930
1704241782,1548,112
1704241785,5831,971
1704241792,7155,1
1704241795,7261,50
1704241799,3494,252
1704241803,8547,428
1704241815,1060,153
1704241822,1929,804
1704241825,4625,756
1704241829,6225,470
1704241833,2402,750
1704241841,953,791
1704241850,3130,634
1704241851,9051,964
